,0,3,6,9,12,15,18,21
256,"-11,3","-5,9","-10,6","-7,4",-4,-2,"-2,1","-1,3"
257,"-6,9","-0,8","-6,4","-6,4","-0,8","-3,7","-5,4","-10,2"
258,"-0,4","-0,9","-0,4","-1,3","-0,3","0,1","-2,2","-5,3"
259,"-0,5","-0,4","-1,3","-0,2","1,5","2,4","2,1","1,1"
260,"-0,4","-1,1","-0,9","-1,3","-0,9","-0,6","-2,2","-2,2"
261,"-3,3","-4,8","-0,2","-0,5","1,1","0,9","0,9","0,5"
262,"-3,8","-8,1","-5,2","-5,2","-3,5","-1,6","-2,3","-3,5"
263,"-7,2","2,4","-7,4","-6,3","-5,4","-4,3","-5,3","-3,2"
264,"2,7","1,4","2,3","2,2","3,1","0,1","-3,2","-5,6"
265,"1,3","-14,9","1,5","1,9","2,7","3,6","4,4","3,6"
266,"-17,1","-26,6","-13,3","-11,9","-9,3","-4,4","-1,2","0,6"
267,"-26,2","-23,8","-25,8","-24,1","-17,8","-17,3","-17,4","-17,8"
268,-21,"-6,9","-26,1","-25,7","-22,9","-21,2","-23,6","-24,4"
269,"-7,2","-12,7","-7,9","-9,9","-11,1","-10,1","-12,4","-16,8"
270,"-11,7","-14,2","-16,2","-13,3",-7,"-7,1","-7,2","-7,3"
271,"-14,1","-22,2","-15,1","-16,4","-11,6",-10,"-9,7","-9,8"
272,"-20,5","-15,7","-22,6","-20,3","-16,3","-14,6","-15,4","-14,9"
273,"-12,7","-20,4","-15,8","-15,6",-12,"-10,7","-15,2","-18,2"
274,"-20,1","-25,2","-20,1","-18,2","-12,6","-11,5","-12,4","-12,4"
275,"-23,5","-18,1","-27,2",-25,"-18,1","-13,6","-16,6","-18,8"
276,"-17,4","-14,1","-17,9","-17,2","-15,4","-14,2",-17,-21
277,"-13,2","2,1","-14,7","-15,7","-14,8","-14,7","-15,9","-16,4"
278,"1,9","-9,6","-3,5","-8,1",-9,"-10,1","-13,4",-16
279,"-10,8","-10,8","-7,7",-2,"1,8",3,"2,5",2
280,"-11,1",-13,"-10,7","-10,7","-9,7","-8,9","-9,3","-10,3"
281,"-13,8","-23,3","-12,9","-12,6","-9,7","-9,4","-10,8","-11,2"
282,-22,"-16,2",-24,-18,"-14,6","-15,3",-15,"-14,4"
283,"-16,1","-17,9","-16,8","-16,9","-16,4",-16,"-18,3","-18,5"
284,"-16,9","-11,2","-19,3","-19,3","-16,8","-14,5","-14,3","-15,7"
285,"-11,4",3,"-12,1","-13,6","-12,5","-11,6","-14,3","-15,6"
286,"2,3","0,4","2,4","0,8","-3,8","-6,6","-8,8","-11,2"
287,"0,1","-5,2","0,9",1,"1,5","1,6","1,6","1,9"
288,"-5,7","-3,8","-4,7","-4,3","-2,2","-1,2","-0,9","-0,5"
